"id","image_id","response","create_dt","session_id"
13909,28,1,"2022-03-09 05:30:51","5a1a40ec-0b51-49c3-9e6f-d46c6a40c844"
13910,133,0,"2022-03-09 06:20:03","73cd3703-667b-40c1-972a-182d21d9cfcb"
13911,35,-1,"2022-03-09 06:25:37",a0db12e0-44c4-479e-8a9f-77863b4ec41a
13912,389,1,"2022-03-09 06:31:18","9b94b8f9-8b30-4b6f-b85f-10650b133aa8"
13913,373,-1,"2022-03-09 06:39:46",f81a3c95-17c4-471e-9979-f27666848cab
13914,387,-1,"2022-03-09 07:15:33",a491bd12-4710-4ec8-af1d-2c11dc78fcaa
13915,164,0,"2022-03-09 07:21:08",fc510dc2-baf5-4e4a-ad6b-a42a49e31f75
13916,303,1,"2022-03-09 07:38:12","1fa4148b-709e-4618-a01f-87a8ea206d10"
13917,83,-1,"2022-03-09 07:55:35",fcbcf7af-c0f5-4fda-88f0-190248cacdde
13918,39,0,"2022-03-09 09:14:03",fc4caccf-4cd7-46a4-acf6-2978b8299640
13919,72,1,"2022-03-09 09:20:39","5ba22c7b-0904-4d1e-ba22-e1d3c242070b"
13920,324,0,"2022-03-09 09:26:22","19ba139b-3889-4132-b6be-e2eaf3827df8"
13921,337,-1,"2022-03-09 09:32:07","3511e1cd-16df-42f4-81fd-1cbd531f564f"
13922,365,0,"2022-03-09 09:37:42","81ddbee0-e178-41bd-aa1b-a303a57a7acc"
13923,147,1,"2022-03-09 10:02:24",d25a6763-32f9-4337-a69b-789026f30ece
13924,150,-1,"2022-03-09 10:18:16",bd09decd-79b1-44e3-9acf-3537e9553b80
13925,301,-1,"2022-03-09 10:53:51","6ca439b2-34e3-4f0f-9a9a-191d5d82b033"
13926,94,0,"2022-03-09 11:20:20",cc8a0987-ba63-4143-b95f-aa5fce7146f1
13927,126,1,"2022-03-09 11:34:25","5fb181ce-36a5-4b26-bac3-3b8a7d277ab3"
13928,148,-1,"2022-03-09 11:58:26","1f42290e-39a4-45a1-9979-28f174f18e24"
13929,67,1,"2022-03-09 12:52:34",b2ac823e-6b36-4966-a2a7-c64292381523
13930,113,-1,"2022-03-09 12:58:09","9f7c919f-ef72-4f4f-a379-cf0cb070a811"
13931,324,-1,"2022-03-09 13:13:25","97badd7e-a131-4819-9744-7dbe8504d817"
13932,144,1,"2022-03-09 13:59:49",aa296a9c-6a84-4181-8abb-eda6d93e1b5c
13933,371,-1,"2022-03-09 14:55:42",d18746f0-fc67-4425-a208-65557d783eca
13934,52,0,"2022-03-09 15:01:22","06fc1e9b-8422-46d3-bcb2-a9be9af24a3d"
13935,319,1,"2022-03-09 15:09:25",d9a9e430-67c4-4de2-bb40-5d9c791b3e56
13936,148,1,"2022-03-09 15:33:02","05895d8f-835c-4502-96ec-951ee0d87795"
13937,36,1,"2022-03-09 15:54:39",fe6ef2fa-86aa-4bc6-881e-908e2312f375
13938,145,-1,"2022-03-09 16:00:02","62cee3c3-d09e-421c-b89b-c66db83007a0"
13939,46,-1,"2022-03-09 16:10:39","2226080d-83a5-459e-b5c4-91db815e41e8"
13940,333,0,"2022-03-09 18:23:53","2112ea6e-f7ba-4a24-906b-0bbf7ee777d3"
13941,11,0,"2022-03-09 18:32:23","02c46bcc-4fd7-4c08-810c-f30367ab121b"
13942,153,0,"2022-03-09 18:37:29",e2719d76-af9e-45fb-ba9e-81b3ad175462
13943,128,1,"2022-03-09 18:42:34","36eb37b6-2b20-4652-ad43-4f3b43ee0514"
13944,101,0,"2022-03-09 18:47:44",dde2bf17-6873-44f9-ad30-5efe45d49db5
13945,122,0,"2022-03-09 18:52:54","0a6b0461-bda9-4924-a888-da6ddbfe4df8"
13946,42,1,"2022-03-09 18:58:00","1cc130af-aaf4-485c-973a-0c10ea7a2b61"
13947,103,1,"2022-03-09 19:03:09",e8482122-59c3-4f48-abbc-99cae77c4113
13948,25,1,"2022-03-09 19:08:21",aa50806f-3609-45c9-b3e4-9699e6c68c5b
13949,127,-1,"2022-03-09 19:13:34",d07fe342-aaeb-4b08-b6a0-db1832bff107
13950,302,0,"2022-03-09 19:18:43","5f34e7de-8b13-48a6-8f4e-252b546b726c"
13951,91,1,"2022-03-09 19:23:53","076f9c3e-b794-40ff-8dc7-f50b8a0e5ca7"
13952,132,0,"2022-03-09 19:29:03",dbeb5562-34a7-45ec-a1df-6ec92b5ce02d
13953,106,1,"2022-03-09 19:34:19",ce4f39d1-b10b-4192-ace4-ccbe503741a7
13954,66,0,"2022-03-09 19:39:32","426a7999-09a3-468b-8de9-200c59837c6d"
13955,358,1,"2022-03-09 19:44:59","952aa435-4a00-4e5f-a29f-ab373d868e67"
13956,150,0,"2022-03-09 19:49:58",b894ff85-b768-4f5d-8a46-5aeea05ba53d
13957,149,0,"2022-03-09 19:55:12",ff1b3d71-eb82-4b9b-869a-387b32ac5084
13958,355,-1,"2022-03-09 23:47:09","10eb7ab9-658b-46b4-b42b-2e090bc511bf"
13959,47,0,"2022-03-10 00:18:28","439c1cd7-6585-4813-b629-1f096b13227e"
13960,106,-1,"2022-03-10 01:27:27","4cd24270-655b-4202-850e-f5d5dcc0234a"
13961,383,-1,"2022-03-10 01:45:50","2c0a1ac8-06b8-4690-966b-f59579295f73"
13962,157,-1,"2022-03-10 02:26:01",d09ecba9-065b-4fa0-acf2-88b74c67de05
13963,55,-1,"2022-03-10 02:58:02",f99ea55e-88e4-4395-bb5f-09cef5fe6c26
13964,146,0,"2022-03-10 03:05:00","941d9594-5d94-41ba-8059-3814ae0987ca"
13965,164,1,"2022-03-10 03:10:18","3c1e884d-9fc9-4e33-b312-5c402b77553d"
13966,365,1,"2022-03-10 03:15:41",d732347b-1620-41a0-a6e1-486970e5ba33
13967,159,-1,"2022-03-10 03:21:00",dfda8fb6-277d-467f-aaf9-6b02b532122f
13968,47,1,"2022-03-10 03:33:05",dd59f839-cb49-4fab-a027-576102c59c40
13969,322,1,"2022-03-10 03:38:24","30c07aeb-a139-4e7f-bcd9-9eede57fe495"
13970,353,-1,"2022-03-10 03:44:40",e308c523-0da2-4310-8748-0fd8fdc7e2bf
13971,323,1,"2022-03-10 03:50:25","349eec8f-b67a-4a5d-a5fc-cde6aceb580d"
13972,109,0,"2022-03-10 04:05:00","7a4e088d-af20-4013-8a92-4b9a2ea8090a"
13973,40,0,"2022-03-10 04:13:48",a11ad46f-96e4-444e-ad6e-c3dfa115df38
13974,62,1,"2022-03-10 04:19:12","23f78774-e5bc-43b4-ab45-240142e09790"
13975,108,0,"2022-03-10 04:24:36","21faf6ab-27ae-4a99-bd8f-c88ab28300ca"
13976,369,-1,"2022-03-10 04:30:03",cffbd826-b03c-47ba-8e17-034b0f852fe9
13977,352,-1,"2022-03-10 04:35:19",cdd4d17a-ecff-45ff-8a4d-97175c9356e8
13978,64,0,"2022-03-10 04:40:38","588bc0f7-81e3-4527-ac45-7eb4b303d1c7"
13979,370,-1,"2022-03-10 04:57:20","5b89149e-849d-44d5-81a9-536b75ceeac6"
13980,110,1,"2022-03-10 05:03:13","48830ede-df72-4c9e-a1f3-a13924bb38fa"
13981,71,-1,"2022-03-10 07:17:25","28c83a00-fffc-4a7e-a115-690d28c47d99"
13982,37,0,"2022-03-10 07:29:31",b0a1caa8-fa7b-4b97-b5db-eb2eee4720e0
13983,49,-1,"2022-03-10 12:07:32","81494756-db20-4318-917d-4f0b69888990"
13984,123,1,"2022-03-10 12:17:29","5e9e2a40-d88a-4418-ad35-17c4d5daafa5"
13985,116,0,"2022-03-10 12:42:55","2780a4f6-f46a-497f-82e2-f2be80e59c31"
13986,120,1,"2022-03-10 12:49:18","292d39c5-d977-467c-b8f5-5f047724679d"
13987,105,0,"2022-03-10 13:19:30","80bbb524-4ddf-455a-9d48-a3bc2ba3517f"
13988,325,1,"2022-03-10 13:26:19","0f9c088d-c87f-4112-bb19-4e89cf656c6d"
13989,57,0,"2022-03-10 13:32:54","420467aa-c2f1-4a21-b4c4-4ed82281847d"
13990,34,-1,"2022-03-10 13:39:17",abed2f60-8b05-4be3-bdd0-21e197db3083
13991,320,1,"2022-03-10 13:45:41","08a8708e-282d-4675-852b-02f759008932"
13992,154,0,"2022-03-10 13:51:59","274904a3-8cf1-449b-a0ed-6e5b3f2494d6"
13993,119,1,"2022-03-10 13:58:15","7aaacb9c-5c0a-4d01-91a6-31e1a30b57b6"
13994,147,-1,"2022-03-10 14:18:59","1d544370-0842-4004-b6cb-7af748c523ee"
13995,76,0,"2022-03-10 14:32:53",dc5556b2-036b-4d89-8cbc-f8f21eddfcea
13996,116,-1,"2022-03-10 14:39:17",bc04a351-fc77-43af-9672-5791e303e0e5
13997,145,1,"2022-03-10 15:04:39","7d4afc52-bb19-4973-8995-7ca0992b38bd"
13998,64,-1,"2022-03-10 15:10:59",d5120688-e440-4cf2-bb24-dbb7182400bf
13999,356,-1,"2022-03-10 15:45:23",b9273b1e-8996-4350-8f9f-651ed245cf36
14000,73,1,"2022-03-10 16:06:23",c0266733-35d9-40a8-a9e3-a8cf810e2912
14001,134,0,"2022-03-10 16:20:45",f3542c47-2abf-4cc3-9cdd-182ec9248661
14002,58,-1,"2022-03-10 16:51:28","42fae8f1-d9e8-43df-838f-e455b5c4199e"
14003,152,-1,"2022-03-10 16:57:43","76052f36-4c54-4904-a778-43079eeeba0c"
14004,115,-1,"2022-03-10 17:19:43","55d2fbde-ef2e-4379-a674-7065e372ab04"
14005,59,0,"2022-03-10 17:29:57",bdb6bf4a-8396-47b3-a14f-04b1231441fb
